source,target,weight
MUSENC,MUSENCI,2791
BOEMUS1,ANOCC,54
ANOPRO,ANO11TDM,121
ODOTON,ODOTO,727
IERTDM1,AURMUSD,179
ODOORG,ODOOR,107
REGDHI,ODORHY,102
BONBRE,MARLU13,107
UGODEC1A,ANOCMU,1076
AURMUSD,AURMD,331
RUDQUA,JACSM6A,71
ODODI,GARINT,113
GUIMICR,ANOTRUT,72
REGHARI,UGODEC5,51
SCHANO,JOHDEM,100
JACSP7,MURPRA,70
TINLIB,TINLIMP,1588
MURCOM,MURARSD,303
GAFTM5,VANREM,55
JACSM6B,QUAPRIB3,51
COLORGR,COLORG,153
AURMUS,ALCMUS,74
JACSP7,MURQUAE,54
SZYDMUS,GAFEXT,52
ANOPRA,HANREG,55
ANOLIB,GUEUT,61
GUIPROL,ANOTRDMW,58
JACSP6B,ANOFRA4,66
AURMD,REGTONA,81
BEDMUT,IERTRA1,105
VINSPE,MAUMUS,262
BOEMUS1,ANOOXO,130
ANOPRO,SZAMUS,237
ANOCYM,ARIMU,120
ADORFAC,ADORFBR,60
ANOOXO,RUDQUA,108
PROSPE,PROSPEC,4162
ROSLIB1,MARLU8,88
ODOMU,CICNM1,56
ISIDEM,ISISEN,275
IERTDM1,GAFTM3,100
COLORGS,COLORG,148
MURSPE,JACSP1A,4888
ARIMU,GUIMICRO,155
AQUMUS,ARITRA,164
IERTRA2,IERTRA1,53
UGODEC4,GAFEXT,619
HOTRSC,HOTREGC,279
ANOCMM,HANREG,64
JACSM7,ARITRA,51
MUSENC,MUSENCH,129
JACSP4,BOEMUS5,64
ANOMUSD,ISIDEMU,80
ANOCOMP,ANO12TRA,106
ODOMUS,ISIDEM,109
ANO3DEC,ANOCOMM,60
UGODEC1A,ANOQS,53
MAUMUS,HIERINST,130
VINSPE,REGHAR,180
ISIDEM,ISIDEMU,840
UGODEC2,PROSPEC,107
HANSUM,ANO1DEM,78
CARTRA,QUAPRIB2,615
BOEMUS1,JACSP5A,81
AURMD,ISIDEMU,65
PROSPE,UGODEC4,62
MURARSPB,ANOMUS2,121
LUCARSC,UGODEC3B,602
PETARS,FRAARSCM,52
CARTRA,VALMON,77
JACSP5A,JACSP5B,148
JACSM6A,ARIMU,87
VALMON,ANOTRHO,62
ALIMU,BOEARI2,76
PROSPEC,PROPLA,57
BERNDIV,ALIMUS,123
MARLU11,ANOMUS,258
WOLENC3,ROSLIB1,57
BONBRE,MARLU9,237
WILMUSI,HERMUSG,55
VINSPE,MAUDEU,284
MURARSPB,MURARSPA,714
VALMON,JOHPAL,80
MARDEN9,REMMUSI,625
JACSP2A,IERTRA1,85
ANOLIBM,JOHDEM,83
ODOMUS,AURMD,53
GALRIT2,BURMUS3,60
BERNDIV,ALIMU,52
GUIRRH,GUIRR,1588
AURMUSD,AURMUS,298
ISISEN,AURMUSD,52
ANOLAF,ANOQS,70
VITARNO,AQUMUS,59
ZAMLAM,BERTON,114
BOEDIM5,BOEMUS5,1711
ANO2TRA,ANOPRA,148
CICNM1,CICNM4,59
BOEDIM1,AURMUS,104
GALRC1,BURMUS3,106
UGODEC3B,BERMAN,131
FRAARSC,HANSUM,202
BONBRE,BURMUS1,566
ANO1MU,BERNDEM,145
ANO11TDM,ANOTRHO,56
IERTDM1,CARTRA,62
ODORH,REGDHI,77
MURLIB,LUCARSC,416
FRUBREC,ANOMEN,399
GUICHA,ABGURAM,292
CICNM2,AURMUSD,80
IERTDM1,RUDQUA,284
IERTDM1,ANOMUSD,90
ARIDEM,GUICOMS,714
ROSLIB1,BONBRE,339
BOEDIM1,BEDMUT,70
PROEXP,UGODEC3B,565
BERNDIVM,HUCHARM,150
MURAD,MURMGAF,60
FRUBRE,WILMUS,182
BOEDIM5,ANOCC,54
PETMUSM,PETMUS,519
IERTDM1,BOEDIM4,826
BOEDIM5,UGODEC5,178
ANOMETE,ISIDEMU,70
MARLU6,ROSLIB1,88
GAFEXT,MARLUC11,234
CICNM1,BOEMUS2,195
UGODEC4,PROSPEC,154
REGHARI,REGDHI,689
ANOCMM,BALABM,51
HANSUMA,ARTDIS,65
MARLUC4,BONBRE,69
JOHMUS,JACSM6A,52
IERTDM1,GUISTON,88
IERTRA1,BOEDIM3,109
BERMAN,MURARSPA,244
SCENCH,BOEARI1,134
JACSM7,ANOFRA4,194
GALRIT2,GALRC1,4456
FRUBREC,ANOMMB,345
ANOTRUT,GUIMICRO,230
MURNOT,ANO6DEM,167
BOEDIM4,ADEMUS,977
MARBREV,MARBRE,604
CICNM3,IERTRA1,121
MARLUC14,MARLU14,90
IERTDM1,AURMUS,183
JACSM6A,ODODI,254
BERMAN,PROEXP,273
WILMU,GUIMICRO,102
GALRC1,GALRIT2,57
IERTRA1,UGODEC5,68
JACSP4,SCHEN,67
BERNMUS,ANO1MU,99
MARLU12,MARLUC12,224
CICNM3,BOEMUS1,90
ANOMETE,VINSPE,72
CARTRA,JACSM6A,61
BONBRE,MARLUC4,65
BOEMUS1,VINSPE,2212
ZAMLIB,ANOLAF,53
AURMUS,BOEARI2,143
REGHARI,ODORHY,90
MONPRE,MONPREC,4837
REGDHI,BOEDIM3,110
BERMAN,MURLIB,208
BOEDIM1,RUDQUA,73
LUCARSC,GAFEXT,276
JACSM6A,GUIEP,55
TINTRAN,TINTDN,974
ANO1MU,FRUBRE,103
JACSP4,SCHENC,66
BOEDIM1,GUISTON,77
GALRC1,GALRIT3,3050
ODODI,RUDQUA,78
ANOCC,IERTRA1,60
CALVEX,QUECOM,59
TINEM,TINDIF,460
AURMD,CASINS,55
GAFEXT,MURARSPA,343
CASINST,ISIDEMU,63
MURMUS,MURMUSI,318
ALIMU,ANODUL2,57
ANOCMB,ANOCBT,798
ARIDEM,RUDQUA,783
IERTDM1,ARITRA,94
DISVUL,DISPOVU,390
BERNDIV,BERNMUS,62
PEPESUM,ANO11TRA,59
ANO11TDM,SZAMUS,755
ANOART,ANO3COM,699
BERNPRO,BERNMUS,4932
IERTDM1,GAFTM1,61
JACSM6A,GUICOMS,72
IERTDM1,REGDHI,257
ANOAPC,ANO12TRA,249
THEMUSI,GUIMICRO,52
MURMSPE,MURMSPEW,1739
CARTRA,JOHPAL,52
ANOMUS2,MURLIB,87
HEYDAC2,ORIPRA,97
ODODI,JACSP6A,155
ANOMETE,GUICOM,88
MURQUAE,GAFEXT,263
REGDHI,REGHARI,4671
JOHMUS,IERTRA1,222
REGHARI,MACCOM2,80
IERTDM1,ODOMUS,146
JOHMUS,JACSP6A,190
JACSP7,ARITRA,58
BOEDIM5,JACSP5B,187
REGHARI,ODORH,113
JACSP5A,JACSP2A,55
BERTON,ANOLAF,348
MURARSD,ANO11TRA,68
THEPAR,GUIMICR,156
AQUARS,ANOMUPO,92
BOEMUS4,JACSP6A,286
QUAPRIB4,FRAARSC,142
WOLDEM,AGRRUD,201
VITARNO,ANODMP,60
BOEMUS4,IERTDM2,1310
ANOSPI,ANOFRA2,53
QUAPRIB3,ANODMP,55
ANOPRA,ANO3DEC,65
RUDQUA,REGHAR,95
